2023-11-08 13:42:27.575 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Starting Test06Application using Java 17.0.7 on FULL8-011 with PID 6476 (C:\Users\db400tea\Desktop\1107\LegoNego_Proj05\build\classes\java\main started by db400tea in C:\Users\db400tea\Desktop\1107\LegoNego_Proj05)
2023-11-08 13:42:27.578 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-08 13:42:27.603 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-08 13:42:27.604 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-08 13:42:28.218 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-08 13:42:28.223 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-08 13:42:28.223 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-08 13:42:28.224 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-08 13:42:28.364 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-08 13:42:28.368 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-08 13:42:28.369 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 764 ms
2023-11-08 13:42:28.630 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-08 13:42:28.728 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6e8603d5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@20650238, org.springframework.security.web.context.SecurityContextPersistenceFilter@42390762, org.springframework.security.web.header.HeaderWriterFilter@692136d6, org.springframework.security.web.authentication.logout.LogoutFilter@6a896529, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@44a1419c, org.springframework.security.web.session.ConcurrentSessionFilter@5785ec8e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7bfdfd71, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@79ceb679, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2574827f, org.springframework.security.web.session.SessionManagementFilter@3654a1a8, org.springframework.security.web.access.ExceptionTranslationFilter@1d19819, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5572504e]
2023-11-08 13:42:28.816 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-08 13:42:28.825 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-08 13:42:28.840 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-08 13:42:28.846 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Started Test06Application in 1.436 seconds (JVM running for 1.801)
2023-11-08 13:45:30.401 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Starting Test06Application using Java 17.0.7 on FULL8-011 with PID 18912 (C:\Users\db400tea\Desktop\1107\LegoNego_Proj05\build\classes\java\main started by db400tea in C:\Users\db400tea\Desktop\1107\LegoNego_Proj05)
2023-11-08 13:45:30.403 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-08 13:45:30.428 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-08 13:45:30.428 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-08 13:45:31.056 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-08 13:45:31.060 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-08 13:45:31.061 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-08 13:45:31.061 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-08 13:45:31.211 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-08 13:45:31.215 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-08 13:45:31.215 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 787 ms
2023-11-08 13:45:31.458 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-08 13:45:31.558 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@70092011, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@46d7a173, org.springframework.security.web.context.SecurityContextPersistenceFilter@28d23991, org.springframework.security.web.header.HeaderWriterFilter@577a3642, org.springframework.security.web.authentication.logout.LogoutFilter@1b1c9820, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1adbf128, org.springframework.security.web.session.ConcurrentSessionFilter@792539ed, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@53b18ce9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@244389a9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4f7ec7a1, org.springframework.security.web.session.SessionManagementFilter@7771b0c, org.springframework.security.web.access.ExceptionTranslationFilter@669395f6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@46c2c3a4]
2023-11-08 13:45:31.656 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-08 13:45:31.665 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-08 13:45:31.680 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-08 13:45:31.686 INFO  [restartedMain] [com.chunjae.test06.Test06Application] - Started Test06Application in 1.459 seconds (JVM running for 1.843)
2023-11-08 13:45:39.256 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-08 13:45:39.256 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-08 13:45:39.256 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
